City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,lompoc,34.6391,-120.4579,12.74,65,0,4.12,US,1710430801
180,kavieng,-2.5744,150.7967,27.81,83,100,4.55,PG,1710430802
181,lagoa,39.05,-27.9833,15.97,85,60,10.72,PT,1710430802
182,vuktyl,63.8567,57.3094,-18.05,99,34,2.28,RU,1710430802
183,morehead city,34.7229,-76.726,25.0,53,0,1.79,US,1710430803
184,ribeira grande,38.5167,-28.7,18.22,88,20,9.83,PT,1710430803
185,peace river,56.2501,-117.286,-0.83,80,100,2.06,CA,1710430803
186,san pedro pochutla,15.7333,-96.4667,31.19,40,100,3.06,MX,1710430803
187,yaren,-0.5472,166.916,28.03,80,100,4.78,NR,1710430804
188,shkoder,42.0683,19.5126,18.1,62,4,2.5,AL,1710430730
189,tolanaro,-25.0319,46.9987,29.04,79,20,9.26,MG,1710430804
190,puerto deseado,-47.7503,-65.8938,14.71,31,3,8.65,AR,1710430804
191,mahanoro,-19.9,48.8,26.17,80,44,1.12,MG,1710430805
192,eureka,40.8021,-124.1637,9.34,68,3,2.06,US,1710430805
193,gadzhiyevo,69.2551,33.3362,-2.98,96,100,6.27,RU,1710430805
194,udachny,66.4167,112.4,-31.17,98,74,2.1,RU,1710430730
195,porterville,36.0652,-119.0168,11.95,93,20,3.09,US,1710430806
196,eenhana,-17.4667,16.3333,32.76,26,62,2.17,NA,1710430806
197,ioannina,39.6675,20.8508,12.86,58,93,2.06,GR,1710430548
198,vila franca do campo,37.7167,-25.4333,18.27,99,73,5.57,PT,1710430807
199,dapa,9.7594,126.0531,25.48,88,82,4.49,PH,1710430807
200,sao tome,0.3365,6.7273,26.22,82,100,7.76,ST,1710430807
201,dompu,-8.5356,118.4622,24.67,98,100,0.89,ID,1710430807
202,usogorsk,63.4106,48.6872,-1.3,96,100,3.41,RU,1710430808
203,oncativo,-31.9135,-63.682,24.82,88,97,3.9,AR,1710430808
204,north battleford,52.7834,-108.2847,0.05,86,100,2.57,CA,1710430808
205,mejit,10.2753,170.8646,26.45,75,100,8.36,MH,1710430808
206,sydney mines,46.2367,-60.2177,4.36,91,100,5.14,CA,1710430809
207,pacific grove,36.6177,-121.9166,13.66,51,0,1.34,US,1710430809
208,kapa'a,22.0752,-159.319,21.99,86,20,5.66,US,1710430809
209,mata-utu,-13.2816,-176.1745,28.82,76,100,2.03,WF,1710430809
210,salym,60.0625,71.4789,-19.51,97,66,1.36,RU,1710430810
211,gusinoozyorsk,51.2833,106.5,-11.02,88,100,1.77,RU,1710430810
212,hammerfest,70.6634,23.6821,-4.75,86,100,2.57,NO,1710430676
213,mirabad,30.4362,61.8383,18.16,23,1,2.97,AF,1710430810
214,east london,-33.0153,27.9116,22.52,78,40,3.6,ZA,1710430811
215,cozumel,20.5083,-86.9458,29.45,75,75,7.2,MX,1710430795
216,kavaratti,10.5669,72.642,28.15,72,1,5.64,IN,1710430811
217,barsovo,61.1667,73.1667,-13.93,90,24,3.51,RU,1710430811
218,old town,50.087,14.4202,14.03,75,100,1.54,CZ,1710430812
219,prince george,53.9166,-122.753,4.69,65,100,5.66,CA,1710430812
220,talakan,50.3167,130.3667,-11.87,97,96,1.88,RU,1710430812
221,bredasdorp,-34.5322,20.0403,20.6,59,79,6.12,ZA,1710430812
222,sao joao da barra,-21.6403,-41.0511,30.05,78,56,3.9,BR,1710430813
223,polyarnyy,69.1989,33.4478,-2.87,95,100,6.39,RU,1710430813
224,oranjemund,-28.55,16.4333,18.49,72,39,8.75,NA,1710430813
225,katsuura,35.1333,140.3,11.08,67,6,6.74,JP,1710430814
226,dolores,-36.3132,-57.6792,28.68,64,86,2.8,AR,1710430814
227,susuman,62.7833,148.1667,-23.96,99,100,1.66,RU,1710430814
228,turpan,42.9333,89.1667,11.43,28,100,0.11,CN,1710430815
229,castro,-24.7911,-50.0119,29.3,41,2,3.09,BR,1710430815
230,sretensk,52.2453,117.7093,-15.34,96,5,1.82,RU,1710430815
231,bikenibeu village,1.3673,173.1241,25.98,100,100,7.72,KI,1710430815
232,sabha,27.0377,14.4283,25.44,16,100,5.18,LY,1710430816
233,maridi,4.9158,29.4742,31.39,31,71,0.56,SS,1710430816
234,taro,-8.3862,115.28,24.0,100,100,1.47,ID,1710430816
235,lihue,21.9789,-159.3672,21.58,87,20,5.66,US,1710430816
236,panitian,9.0965,118.0864,23.71,86,74,1.5,PH,1710430817
237,vilyuchinsk,52.9306,158.4028,0.15,94,100,2.87,RU,1710430817
238,galliano,29.4422,-90.2992,25.0,83,100,5.14,US,1710430817
239,kattivakkam,13.2167,80.3167,28.05,70,3,4.31,IN,1710430817
240,ebon,4.582,168.6964,28.07,82,100,8.89,MH,1710430818
241,dhidhdhoo,6.8833,73.1,28.78,69,42,3.69,MV,1710430818
242,woolgoolga,-30.1106,153.2007,21.93,84,56,5.16,AU,1710430818
243,mount isa,-20.7333,139.5,21.87,68,10,0.0,AU,1710430818
244,el calafate,-50.3408,-72.2768,4.93,89,100,2.2,AR,1710430819
245,hotan,37.0997,79.9269,9.95,28,100,0.7,CN,1710430819
246,pyshma,56.9523,63.2513,-1.6,97,100,3.74,RU,1710430819
247,ingeniero guillermo n. juarez,-23.9,-61.85,40.44,29,18,9.21,AR,1710430820
248,ashmun,30.2986,30.9764,23.47,29,10,4.0,EG,1710430820
249,bayville,40.9106,-73.5621,20.08,59,87,1.34,US,1710430820
250,ataq,14.5377,46.8319,24.7,39,2,7.32,YE,1710430820
251,quellon,-43.1167,-73.6167,13.59,64,58,3.24,CL,1710430821
252,kolonia,50.9333,6.95,18.82,56,0,4.12,DE,1710430597
253,sanctuary point,-35.1114,150.629,19.3,82,100,4.64,AU,1710430821
254,sandnessjoen,66.0217,12.6316,6.06,75,75,9.77,NO,1710430821
255,ishigaki,24.3448,124.1572,19.07,72,67,3.09,JP,1710430822
256,saipan,15.1355,145.701,26.39,83,40,6.17,MP,1710430822
257,canutama,-6.5339,-64.3831,32.7,58,93,2.02,BR,1710430822
258,el eulma,36.1528,5.6902,18.34,34,0,4.02,DZ,1710430822
259,ilhabela,-23.7781,-45.3581,27.65,78,23,2.47,BR,1710430823
260,mugia,43.1041,-9.2179,16.06,97,100,8.41,ES,1710430823
261,badarganj,25.674,89.0549,25.48,22,0,1.99,BD,1710430823
262,prineville,44.2999,-120.8345,1.31,93,0,0.0,US,1710430823
263,naryn,41.4287,75.9911,-13.45,70,84,3.02,KG,1710430824
264,saddiqabad,28.3062,70.1307,22.79,26,0,3.63,PK,1710430824
265,chamical,-30.36,-66.314,33.11,44,92,4.56,AR,1710430824
266,genhe,50.7833,121.5167,-6.35,83,83,4.65,CN,1710430824
267,stanley,54.868,-1.6985,11.82,85,75,3.09,GB,1710430576
268,banjarmasin,-3.3244,114.591,29.08,91,100,0.2,ID,1710430473
269,dali,25.7,100.1833,9.66,55,8,2.7,CN,1710430825
270,puerto baquerizo moreno,-0.9,-89.6,27.55,89,75,1.03,EC,1710430825
271,taksimo,56.3444,114.8794,-16.62,90,66,1.69,RU,1710430826
272,st. john's,47.5649,-52.7093,2.66,91,100,8.75,CA,1710430826
